tune,bar,voice,onset_in_bar_wholes,duration_wholes,pitches,midi,chord,source
1,7,CH,1/4,1/4,,,Eb,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,CH,1/2,1/4,,,Eb,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,CH,3/4,1/4,,,Eb,"p.3 (scan 002) system 3, bar 1 of 3"
1,8,MEL,0,3/16,F4,65,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,MEL,3/16,1/16,G4,67,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,MEL,1/4,3/16,F4,65,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,MEL,7/16,1/16,D4,62,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,MEL,1/2,1/4,F4,65,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,MEL,7/8,1/16,F4,65,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,MEL,15/16,1/16,F4,65,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,LH,0,1/4,Bb2,46,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,LH,1/4,1/4,Bb2,46,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,LH,1/2,1/4,Bb2,46,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,LH,3/4,1/4,Bb2,46,,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,CH,0,1/4,,,Bb,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,CH,1/4,1/4,,,Bb,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,CH,1/2,1/4,,,Bb,"p.3 (scan 002) system 3, bar 2 of 3"
1,8,CH,3/4,1/4,,,Bb,"p.3 (scan 002) system 3, bar 2 of 3"
1,9,MEL,0,3/16,F4,65,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,MEL,3/16,1/16,F4,65,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,MEL,1/4,3/16,F4,65,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,MEL,7/16,1/16,Eb4,63,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,MEL,1/2,3/16,D4,62,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,MEL,11/16,1/16,F4,65,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,MEL,3/4,3/16,Bb4,70,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,MEL,15/16,1/16,C5,72,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,LH,0,1/4,Bb2,46,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,LH,1/4,1/4,Bb2,46,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,LH,1/2,1/4,Bb2,46,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,LH,3/4,1/4,Bb2,46,,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,CH,0,1/4,,,Bb,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,CH,1/4,1/4,,,Bb,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,CH,1/2,1/4,,,Bb,"p.3 (scan 002) system 3, bar 3 of 3"
1,9,CH,3/4,1/4,,,Bb,"p.3 (scan 002) system 3, bar 3 of 3"
1,10,MEL,0,3/16,D5,74,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,MEL,3/16,1/16,D5,74,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,MEL,1/4,3/16,D5,74,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,MEL,7/16,1/16,C5,72,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,MEL,1/2,1/4,Bb4,70,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,MEL,7/8,1/8,Bb4,70,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,LH,0,1/4,Bb2,46,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,LH,1/4,1/4,Bb2,46,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,LH,1/2,1/4,Bb2,46,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,LH,3/4,1/4,Bb2,46,,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,CH,0,1/4,,,Bb,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,CH,1/4,1/4,,,Bb,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,CH,1/2,1/4,,,Bb,"p.3 (scan 002) system 4, bar 1 of 3"
1,10,CH,3/4,1/4,,,Bb,"p.3 (scan 002) system 4, bar 1 of 3"
1,11,MEL,0,1/4,C5,72,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,MEL,1/4,3/16,C5,72,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,MEL,7/16,1/16,C5,72,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,MEL,1/2,1/4,Bb4,70,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,MEL,3/4,1/4,A4,69,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,RH,0,1/4,G3 C4,55 60,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,RH,1/4,1/4,G3 C4,55 60,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,RH,3/4,1/4,F3 C4 Eb4,53 60 63,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,LH,0,1/4,Eb2 Eb3,39 51,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,LH,1/4,1/4,Eb2 Eb3,39 51,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,LH,1/2,1/4,F2,41,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,LH,3/4,1/4,F2,41,,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,CH,0,1/4,,,Cm/Eb,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,CH,1/4,1/4,,,Cm/Eb,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,CH,1/2,1/4,,,Bb/F,"p.3 (scan 002) system 4, bar 2 of 3"
1,11,CH,3/4,1/4,,,F7,"p.3 (scan 002) system 4, bar 2 of 3"
1,12,MEL,0,1/2,Bb4,70,,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,RH,0,1/8,Bb3 D4,58 62,,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,RH,1/8,1/16,F4,65,,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,RH,3/16,1/16,F4,65,,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,RH,1/4,1/8,F4,65,,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,RH,3/8,1/8,F4,65,,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,RH,1/2,1/4,F4,65,,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,RH,3/4,1/4,F4,65,,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,LH,0,1/4,Bb2,46,,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,CH,0,1/4,,,Bb,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,CH,1/4,1/4,,,N.C.,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,CH,1/2,1/4,,,N.C.,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,12,CH,3/4,1/4,,,N.C.,"p.3 (scan 002) system 4, bar 3 of 3 -- double bar ends p.3"
1,13,MEL,0,3/8,F4,65,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,MEL,3/8,1/8,Eb4,63,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,MEL,1/2,3/16,D4,62,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,MEL,11/16,1/16,F4,65,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,MEL,3/4,3/16,Bb4,70,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,MEL,15/16,1/16,C5,72,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,LH,0,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,LH,1/4,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,LH,1/2,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,LH,3/4,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,CH,0,1/4,,,Bb,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,CH,1/4,1/4,,,Bb,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,CH,1/2,1/4,,,Bb,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,CH,3/4,1/4,,,Bb,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,ALT,0,3/8,D4,62,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,ALT,3/8,1/8,C4,60,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,ALT,1/2,3/16,D4,62,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,ALT,11/16,1/16,D4,62,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,ALT,3/4,3/16,D4,62,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,ALT,15/16,1/16,Eb4,63,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,BAS,0,3/8,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,BAS,3/8,1/8,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,BAS,1/2,3/16,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,BAS,11/16,1/16,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,BAS,3/4,3/16,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,13,BAS,15/16,1/16,Bb2,46,,"p.4 (scan 003) system 1, bar 1 of 4 -- CHORUS"
1,14,MEL,0,1/2,D5,74,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,MEL,1/2,1/4,Bb4,70,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,LH,0,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,LH,1/4,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,LH,1/2,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,LH,3/4,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,CH,0,1/4,,,Bb,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,CH,1/4,1/4,,,Bb,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,CH,1/2,1/4,,,Bb,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,CH,3/4,1/4,,,Bb,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,ALT,0,1/2,F4,65,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,ALT,1/2,1/4,D4,62,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,BAS,0,1/2,Bb2,46,,"p.4 (scan 003) system 1, bar 2 of 4"
1,14,BAS,1/2,1/4,Bb2,46,,"p.4 (scan 003) system 1, bar 2 of 4"
1,15,MEL,0,3/16,G4,67,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,MEL,3/16,1/16,G4,67,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,MEL,1/4,3/16,G4,67,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,MEL,7/16,1/16,A4,69,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,MEL,1/2,3/16,Bb4,70,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,MEL,11/16,1/16,Bb4,70,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,MEL,3/4,3/16,A4,69,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,MEL,15/16,1/16,G4,67,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,RH,0,1/4,G3 Bb3 Eb4,55 58 63,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,RH,1/4,1/4,G3 Bb3 Eb4,55 58 63,,"p.4 (scan 003) system 1, bar 3 of 4"
1,15,RH,1/2,1/4,G3 Bb3 Eb4,55 58 63,,"p.4 (scan 003) system 1, bar 3 of 4"
